candidate_id	candidate_type	scope	active_file	render_kind	render_path	amount_usd	source_rows	count_semantics	source_url	source_basis	repository_row_evidence	current_exact_locations	history_exact_locations
001	large_leaf	Michigan	data/state-mi/archive-state-source/state-mi-health-and-human-services.json	base row	Official archive › Health and Human Services › Health and Human Services › Health and Human Services · Contractual Services, Supplies, and Materials · External Purchased Services	27445007099.46	373872	source_records	https://sigmai.michigan.gov/EI360TransparencyApp/jsp/bulkCheckbookDownload	Official source linked in the active dataset	sourceRows_count_only	none	none
002	large_leaf	Michigan	data/state-mi/archive-state-source/state-mi-health-and-human-services.json	base row	Census adjustments › Official archive · Health and Human Services › Health and Human Services › Health and Human Services · Contractual Services, Supplies, and Materials · External Purchased Services	27445007099.46	373872	source_records	https://sigmai.michigan.gov/EI360TransparencyApp/jsp/bulkCheckbookDownload	Official source linked in the active dataset	sourceRows_count_only	none	none
003	large_leaf	Michigan	data/state-mi/archive-state-source/state-mi-education.json	base row	Official archive › Education › Education › Education · Payments to Local Units, Individuals, and Private Groups · Payments to Local Units	20051716323.86	21406	source_records	https://sigmai.michigan.gov/EI360TransparencyApp/jsp/bulkCheckbookDownload	Official source linked in the active dataset	sourceRows_count_only	none	none
004	large_leaf	Michigan	data/state-mi/archive-state-source/state-mi-education.json	base row	Census adjustments › Official archive · Education › Education › Education · Payments to Local Units, Individuals, and Private Groups · Payments to Local Units	20051716323.86	21406	source_records	https://sigmai.michigan.gov/EI360TransparencyApp/jsp/bulkCheckbookDownload	Official source linked in the active dataset	sourceRows_count_only	none	none
005	large_leaf	New Jersey	data/state-nj/archive-state-source/state-nj-human-services.json	base row	Official archive › HUMAN SERVICES › HUMAN SERVICES › SPECIAL HEALTH SERVICES · Receiver [individual recipient omitted]	18670126290.78	630	source_records	https://data.nj.gov/Government-Finance/YourMoney-Agency-Expenditures/apet-rp2i	Official FY2024 Agency Expenditures dataset; pie amount uses expended, with obligations retained as a separate row measure.	sourceRows_count_only	none	none
006	large_leaf	New Jersey	data/state-nj/archive-state-source/state-nj-human-services.json	base row	Census adjustments › Official archive · HUMAN SERVICES › HUMAN SERVICES › SPECIAL HEALTH SERVICES · Receiver [individual recipient omitted]	18670126290.78	630	source_records	https://data.nj.gov/Government-Finance/YourMoney-Agency-Expenditures/apet-rp2i	Official FY2024 Agency Expenditures dataset; pie amount uses expended, with obligations retained as a separate row measure.	sourceRows_count_only	none	none
007	large_leaf	North Carolina	data/state-nc/archive-state-source/state-nc-department-of-heath-and-human-services.json	base row	Official archive › Department of Heath and Human Services › Department of Heath and Human Services › Department of Heath and Human Services · Aid And Public Assistance	31204021286.92	1017	source_records	https://www.nc.gov/nc-budget-data-fy2024-49-mb/download?attachment=	Official source linked in the active dataset	sourceRows_count_only	none	none
008	large_leaf	North Carolina	data/state-nc/archive-state-source/state-nc-department-of-heath-and-human-services.json	base row	Census adjustments › Official archive · Department of Heath and Human Services › Department of Heath and Human Services › Department of Heath and Human Services · Aid And Public Assistance	31204021286.92	1017	source_records	https://www.nc.gov/nc-budget-data-fy2024-49-mb/download?attachment=	Official source linked in the active dataset	sourceRows_count_only	none	none
009	large_leaf	North Carolina	data/state-nc/archive-state-source/state-nc-department-of-public-instruction.json	base row	Official archive › Department of Public Instruction › Department of Public Instruction › Department of Public Instruction · Aid And Public Assistance	15336437487	128	source_records	https://www.nc.gov/nc-budget-data-fy2024-49-mb/download?attachment=	Official source linked in the active dataset	sourceRows_count_only	none	none
010	large_leaf	North Carolina	data/state-nc/archive-state-source/state-nc-department-of-public-instruction.json	base row	Census adjustments › Official archive · Department of Public Instruction › Department of Public Instruction › Department of Public Instruction · Aid And Public Assistance	15336437487	128	source_records	https://www.nc.gov/nc-budget-data-fy2024-49-mb/download?attachment=	Official source linked in the active dataset	sourceRows_count_only	none	none
